"Country","Continent","Forexres","Change","Date","newdate"
"China","Asia","41,079","31,221","31 Aug 2025","31 Aug 2025"
"Japan","Asia","19,774","16,230","31 Aug 2025","31 Aug 2025"
"Switzerland","Europe","13,935","14,490","31 Jul 2025","31 Jul 2025"
"Russia","Europe/Asia","7,500","1,517","19 Sep 2025","19 Sep 2025"
"India","Asia","396","756","19 Sep 2025","19 Sep 2025"
"Taiwan","Asia","4,390","1,071","31 Aug 2025","31 Aug 2025"
"Saudi Arabia","Asia","21,728","21,728","7 Nov 2024","7 Nov 2024"
"Hong Kong","Asia","5,126","85","8 Nov 2024","8 Nov 2024"
"South Korea","Asia","4,300","790","5 Nov 2024","5 Nov 2024"
"Brazil","Americas","7,465","361","1 Oct 2024","1 Oct 2024"
"Singapore","Asia","5,907","156","7 Nov 2024","7 Nov 2024"
"Germany","Europe","9,863","9,275","1 Oct 2024","1 Oct 2024"
"Italy","Europe","14,225","1,240","1 Nov 2024","1 Nov 2024"
"France","Europe","1,132","143","1 Nov 2024","1 Nov 2024"
"United States","Americas","811","811","22 Aug 2025","22 Aug 2025"
"Thailand","Asia","598","540","8 Nov 2024","8 Nov 2024"
"Mexico","Americas","726","9","1 Nov 2024","1 Nov 2024"
"Poland","Europe","4,800","1,257","7 Jan 2025","7 Jan 2025"
"Israel","Asia","4,303","—","1 Nov 2024","1 Nov 2024"
"United Arab Emirates","Asia","5,340","87","1 Nov 2024","1 Nov 2024"
"United Kingdom","Europe","4,870","5,910","1 Nov 2024","1 Nov 2024"
"Indonesia","Asia","3,382","—","1 Nov 2024","1 Nov 2024"
"Czech Republic","Europe","507","168","1 Nov 2024","1 Nov 2024"
"Turkey","Asia","13,967","31,960","16 May 2025","16 May 2025"
"Netherlands","Europe","212","—","1 Mar 2024","1 Mar 2024"
"Canada","Americas","4,990","—","1 Nov 2024","1 Nov 2024"
"Malaysia","Asia","17,459","14,225","1 Oct 2024","1 Oct 2024"
"Philippines","Asia","328","41","1 Nov 2024","1 Nov 2024"
"Spain","Europe","2.380","2,300","1 Nov 2024","1 Nov 2024"
"Iraq","Asia","15,000","—","25 Mar 2024","25 Mar 2024"
"Vietnam","Asia","1,241","—","1 Mar 2024","1 Mar 2024"
