GEOID,NAME,estimate_poverty,estimate_income,moe_poverty,moe_income
48355,"Nueces County, Texas",61023,66021,3709,1570
48215,"Hidalgo County, Texas",237121,52281,8739,1265
48061,"Cameron County, Texas",102583,51334,4345,1640
48479,"Webb County, Texas",55716,62506,4052,2316
48057,"Calhoun County, Texas",1717,71870,468,10785
48323,"Maverick County, Texas",12981,51270,1758,5723
48465,"Val Verde County, Texas",8377,59673,1316,4312
48039,"Brazoria County, Texas",27057,95155,2210,2480
48229,"Hudspeth County, Texas",497,39336,259,17125
48203,"Harrison County, Texas",11691,66040,1500,2877
48387,"Red River County, Texas",2389,46912,395,2625
48315,"Marion County, Texas",1750,47447,354,3695
48481,"Wharton County, Texas",5927,66100,968,3893
48001,"Anderson County, Texas",7975,58846,1247,4186
48157,"Fort Bend County, Texas",61205,113409,5071,2627
48257,"Kaufman County, Texas",15419,88606,1854,4191
48471,"Walker County, Texas",11109,49862,1366,5103
48495,"Winkler County, Texas",893,91898,310,15180
48125,"Dickens County, Texas",229,50417,89,8233
48053,"Burnet County, Texas",3988,77158,600,5656
48267,"Kimble County, Texas",645,65703,242,13955
48287,"Lee County, Texas",2121,66000,573,7431
48289,"Leon County, Texas",2301,59975,485,5330
48063,"Camp County, Texas",2826,55061,631,5707
48449,"Titus County, Texas",5368,59220,750,5424
48455,"Trinity County, Texas",2194,51663,477,5802
48477,"Washington County, Texas",4287,75085,733,6997
48341,"Moore County, Texas",3226,61325,730,3815
48155,"Foard County, Texas",214,42212,85,10747
48071,"Chambers County, Texas",6381,108114,1482,7839
48167,"Galveston County, Texas",38925,85348,2637,3053
48003,"Andrews County, Texas",2613,76902,808,8775
48037,"Bowie County, Texas",14112,59295,1372,2241
48205,"Hartley County, Texas",263,82122,140,7980
48043,"Brewster County, Texas",767,52612,252,5872
48453,"Travis County, Texas",140926,97169,6636,1289
48339,"Montgomery County, Texas",60445,97266,4711,2149
48187,"Guadalupe County, Texas",15510,93776,1959,3543
48423,"Smith County, Texas",28262,71923,2867,1916
48475,"Ward County, Texas",1620,71719,485,10492
48103,"Crane County, Texas",368,59915,226,16810
48437,"Swisher County, Texas",1868,39031,409,11390
48223,"Hopkins County, Texas",4502,64725,810,5774
48015,"Austin County, Texas",4408,75994,800,6012
48059,"Callahan County, Texas",1394,68455,345,4257
48073,"Cherokee County, Texas",8578,59830,1149,5223
48499,"Wood County, Texas",5600,62524,877,4285
48333,"Mills County, Texas",332,64494,95,6226
48083,"Coleman County, Texas",1154,52364,459,3900
48317,"Martin County, Texas",419,77083,220,17751
48051,"Burleson County, Texas",2290,72888,567,4110
48469,"Victoria County, Texas",14288,70101,1798,3765
48399,"Runnels County, Texas",1004,63490,230,4032
48379,"Rains County, Texas",1590,64874,425,6875
48065,"Carson County, Texas",415,84583,190,5925
48047,"Brooks County, Texas",2011,31310,652,12811
48243,"Jeff Davis County, Texas",534,32625,302,30989
48007,"Aransas County, Texas",4513,61754,960,5334
48409,"San Patricio County, Texas",10387,67512,1548,4648
48141,"El Paso County, Texas",160998,58859,7148,1208
48321,"Matagorda County, Texas",7816,55174,1288,6186
48377,"Presidio County, Texas",2192,29014,922,10174
48269,"King County, Texas",29,70192,26,28406
48245,"Jefferson County, Texas",44758,59934,3066,2138
48067,"Cass County, Texas",4863,54328,678,5230
48395,"Robertson County, Texas",2768,66250,611,12215
48225,"Houston County, Texas",3134,54563,561,4906
48373,"Polk County, Texas",8675,59066,1078,3522
48491,"Williamson County, Texas",40507,108309,2886,2023
48411,"San Saba County, Texas",753,54855,171,5196
48503,"Young County, Texas",2952,63723,674,9562
48419,"Shelby County, Texas",5635,50436,769,4927
48457,"Tyler County, Texas",3495,50647,583,5585
48241,"Jasper County, Texas",7032,49919,918,3157
48089,"Colorado County, Texas",2140,68554,510,5095
48025,"Bee County, Texas",4039,56075,828,8185
48313,"Madison County, Texas",1505,67128,386,7843
48109,"Culberson County, Texas",383,42672,258,19432
48327,"Menard County, Texas",405,48191,169,11020
48401,"Rusk County, Texas",6795,67506,1113,4964
48041,"Brazos County, Texas",52536,58388,2667,1835
48119,"Delta County, Texas",740,62855,175,6117
48219,"Hockley County, Texas",2628,54810,538,6286
48407,"San Jacinto County, Texas",4928,59526,900,7618
48467,"Van Zandt County, Texas",6959,68274,1244,4520
48161,"Freestone County, Texas",2631,58460,611,5235
48405,"San Augustine County, Texas",2101,46338,417,5544
48345,"Motley County, Texas",123,62857,61,16002
48427,"Starr County, Texas",21862,38182,2206,3996
48361,"Orange County, Texas",10663,73372,1368,4779
48201,"Harris County, Texas",749481,73104,15891,650
48403,"Sabine County, Texas",1414,59924,358,6998
48349,"Navarro County, Texas",8814,59310,1096,3774
48069,"Castro County, Texas",1010,63485,239,11440
48273,"Kleberg County, Texas",8329,57612,1388,4078
48459,"Upshur County, Texas",5460,62794,781,4524
48381,"Randall County, Texas",13392,80905,1642,2803
48343,"Morris County, Texas",1985,55082,410,3951
48301,"Loving County, Texas",5,51087,7,613
48261,"Kenedy County, Texas",3,NA,5,NA
