"abb","state_name","min_wage","unemployment","col_index","wage_norm","unemp_norm","col_norm","composite_score"
"SD","southdakota",11.5,1.9,85,39.7196261682243,100,98.3284169124877,238.048043080712
"NE","nebraska",13.5,3,90,58.411214953271,73.1707317073171,93.4119960668633,224.993942727451
"VT","vermont",14.01,2.5,110,63.177570093458,85.3658536585366,73.7463126843658,222.28973643636
"WA","washington",16.66,4.5,98,87.9439252336449,36.5853658536585,85.5457227138643,210.075013801168
"ME","maine",14.65,3.2,113.4,69.1588785046729,68.2926829268293,70.4031465093412,207.854707940843
"CT","connecticut",16.35,3.8,116.8,85.0467289719626,53.6585365853659,67.0599803343166,205.765245891645
"AZ","arizona",14.7,4.1,98,69.6261682242991,46.3414634146341,85.5457227138643,201.513354352798
"MO","missouri",13.75,4.1,89,60.7476635514019,46.3414634146341,94.3952802359882,201.484407202024
"VA","virginia",12.41,3.6,90,48.2242990654206,58.5365853658536,93.4119960668633,200.172880498138
"MT","montana",10.55,2.9,92,30.8411214953271,75.609756097561,91.4454277286136,197.896305321502
"FL","florida",14,3.8,102.8,63.0841121495327,53.6585365853659,80.8259587020649,197.568607436963
"DE","delaware",15,4.3,102,72.4299065420561,41.4634146341463,81.6125860373648,195.505907213567
"MD","maryland",15,3.6,124,72.4299065420561,58.5365853658536,59.9803343166175,190.946826224527
"CO","colorado",14.81,4.2,108,70.6542056074767,43.9024390243902,75.7128810226155,190.269525654482
"NY","newyork",16.5,4,134.5,86.4485981308411,48.780487804878,49.6558505408063,184.884936476525
"AR","arkansas",11,3.8,88,35.0467289719626,53.6585365853659,95.3785644051131,184.083829962442
"IL","illinois",15,4.4,112,72.4299065420561,39.0243902439024,71.779744346116,183.234041132075
"NM","newmexico",12,4.1,91,44.392523364486,46.3414634146341,92.4287118977384,183.162698676859
"ND","northdakota",7.25,2.5,90,0,85.3658536585366,93.4119960668633,178.7778497254
"MN","minnesota",11.13,3.6,100,36.2616822429907,58.5365853658536,83.5791543756146,178.377421984459
"RI","rhodeisland",15,4.6,112,72.4299065420561,34.1463414634146,71.779744346116,178.355992351587
"OR","oregon",16.3,5,121.2,84.5794392523365,24.390243902439,62.7335299901672,171.703213144943
"AL","alabama",7.25,2.9,87.9,0,75.609756097561,95.4768928220256,171.086648919587
"NJ","newjersey",15.49,5,115,77.0093457943925,24.390243902439,68.8298918387414,170.229481535573
"OK","oklahoma",7.25,3.1,85.5,0,70.7317073170732,97.8367748279253,168.568482144998
"WY","wyoming",7.25,3.2,88,0,68.2926829268293,95.3785644051131,163.671247331942
"WV","westvirginia",8.75,3.8,90,14.018691588785,53.6585365853659,93.4119960668633,161.089224241014
"WI","wisconsin",7.25,3.1,98,0,70.7317073170732,85.5457227138643,156.277430030937
"MI","michigan",12.48,5.2,98,48.8785046728972,19.5121951219512,85.5457227138643,153.936422508713
"MS","mississippi",7.25,3.9,83.3,0,51.2195121951219,100,151.219512195122
"KS","kansas",7.25,3.8,87.5,0,53.6585365853659,95.8702064896755,149.528743075041
"GA","georgia",7.25,3.4,98,0,63.4146341463415,85.5457227138643,148.960356860206
"TN","tennessee",7.25,3.6,95,0,58.5365853658536,88.4955752212389,147.032160587093
"CA","california",16.5,5.5,137.6,86.4485981308411,12.1951219512195,46.6076696165192,145.25138969858
"IA","iowa",7.25,3.8,92,0,53.6585365853659,91.4454277286136,145.103964313979
"ID","idaho",7.25,3.7,95,0,56.0975609756097,88.4955752212389,144.593136196849
"UT","utah",7.25,3.3,105,0,65.8536585365854,78.6627335299902,144.516392066576
"IN","indiana",7.25,3.6,98,0,58.5365853658536,85.5457227138643,144.082308079718
"NC","northcarolina",7.25,3.7,96,0,56.0975609756097,87.512291052114,143.609852027724
"HI","hawaii",14,2.7,185,63.0841121495327,80.4878048780488,0,143.571917027581
"AK","alaska",13,4.7,126.6,53.7383177570093,31.7073170731707,57.4237954768928,142.869430307073
"OH","ohio",10.7,5,98,32.2429906542056,24.390243902439,85.5457227138643,142.178957270509
"NV","nevada",12,5.3,103.2,44.392523364486,17.0731707317073,80.432645034415,141.898339130608
"NH","newhampshire",7.25,3,116.1,0,73.1707317073171,67.748279252704,140.919010960021
"DC","dc",17.95,6,145,100,0,39.3313667649951,139.331366764995
"MA","massachusetts",15,4.8,149.7,72.4299065420561,29.2682926829268,34.7099311701082,136.408130395091
"TX","texas",7.25,4.1,98,0,46.3414634146341,85.5457227138643,131.887186128498
"LA","louisiana",7.25,4.4,92,0,39.0243902439024,91.4454277286136,130.469817972516
"SC","southcarolina",7.25,4.3,96,0,41.4634146341463,87.512291052114,128.97570568626
"KY","kentucky",7.25,4.7,91,0,31.7073170731707,92.4287118977384,124.136028970909
"PA","pennsylvania",7.25,4,110,0,48.780487804878,73.7463126843658,122.526800489244
