"Rank","Country","Forexres","Date","Change","Sources","NA","NA","newdate"
NA,"Asia","3,643,149","41,079","3,389,306","31,221","31 Aug 2025","[3]","41,079"
NA,"Asia","1,324,210","19,774","1,230,940","16,230","31 Aug 2025","[4]","19,774"
NA,"Europe","1,007,710","13,935","897,295","14,490","31 Jul 2025","[5]","13,935"
NA,"Europe/Asia","712,600","7,500","434,487","1,517","19 Sep 2025","[6]","7,500"
NA,"Asia","702,570","396","609,791","756","19 Sep 2025","[7]","396"
NA,"Asia","597,430","4,390","544,300","1,071","31 Aug 2025","[8]","4,390"
NA,"Asia","434,547","21,728","434,116","21,728","7 Nov 2024","[9]","21,728"
NA,"Asia","421,400","5,126","416,216","85","8 Nov 2024","[10]","5,126"
NA,"Asia","415,700","4,300","410,900","790","5 Nov 2024","[11]","4,300"
NA,"Americas","388,571","7,465","344,173","361","1 Oct 2024","[12]","7,465"
NA,"Asia","383,721","5,907","374,809","156","7 Nov 2024","[13]","5,907"
NA,"Europe","345,338","9,863","91,071","9,275","1 Oct 2024","[14]","9,863"
NA,"Europe","279,631","14,225","79,064","1,240","1 Nov 2024","[15]","14,225"
NA,"Europe","272,693","1,132","66,641","143","1 Nov 2024","[16]","1,132"
NA,"Americas","253,767","811","242,726","811","22 Aug 2025","[17]","811"
NA,"Asia","237,866","598","217,231","540","8 Nov 2024","[18]","598"
NA,"Americas","230,328","726","216,974","9","1 Nov 2024","[19]","726"
NA,"Europe","223,200","4,800","188,140","1,257","7 Jan 2025","[20]","4,800"
NA,"Asia","216,074","4,303","—","—","1 Nov 2024","[21]","4,303"
NA,"Asia","210,000","5,340","199,400","87","1 Nov 2024","[22]","5,340"
NA,"Europe","189,228","4,870","161,908","5,910","1 Nov 2024","[23]","4,870"
NA,"Asia","159,246","3,382","—","—","1 Nov 2024","[24]","3,382"
NA,"Europe","149,416","507","145,012","168","1 Nov 2024","[25]","507"
NA,"Asia","138,100","13,967","57,800","31,960","16 May 2025","[26]","13,967"
NA,"Europe","125,451","212","—","—","1 Mar 2024","[27]","212"
NA,"Americas","123,084","4,990","—","—","1 Nov 2024","[28]","4,990"
NA,"Asia","119,700","17,459","113,877","14,225","1 Oct 2024","[29]","17,459"
NA,"Asia","112,434","328","101,081","41","1 Nov 2024","[30]","328"
NA,"Europe","100,983","2.380","77,348","2,300","1 Nov 2024","[31]","2.380"
NA,"Asia","100,000","15,000","—","—","25 Mar 2024","[32]","15,000"
NA,"Asia","93,342","1,241","—","—","1 Mar 2024","[33]","1,241"
NA,"Europe","93,196","763","88,450","273","1 Nov 2024","[34]","763"
NA,"Europe","82,473","4,005","73,645","3,590","30 Sep 2024","[35]","4,005"
NA,"Europe","82,000","14,200","67,200","79","1 Mar 2024","[36]","14,200"
NA,"Europe","80,110","1430","—","—","1 Oct 2024","[37]","1430"
NA,"Americas","73,483","201","—","—","1 Mar 2024","[38]","201"
NA,"Africa","70,524","238","—","—","1 Mar 2024","[39]","238"
NA,"Africa","68,028","1,880","—","—","1 Mar 2024","[40]","1,880"
NA,"Africa","67,450","1,186","54,862","143","31 Mar 2025","[41]","1,186"
NA,"Oceania","65,018","119","57,998","267","7 Nov 2024","[42]","119"
NA,"Asia","64,560","8,931","—","—","1 Mar 2024","[43]","8,931"
NA,"Europe","62,438","271","52,395","209","7 Nov 2024","[44]","271"
NA,"Americas","57,269","124","—","—","8 Mar 2024","[45]","124"
NA,"Europe","53,710","7,800","—","—","1 Mar 2024","[46]","7,800"
NA,"Asia","46,420","1,112","—","—","1 Mar 2024","[47]","1,112"
NA,"Americas","42,527","2,373","—","—","1 Mar 2024","[48]","2,373"
NA,"Europe","41,344","4,749","—","—","1 Mar 2024","[49]","4,749"
NA,"Europe","40,507","1,212","—","—","1 Mar 2024","[50]","1,212"
NA,"Europe","35,395","692","—","—","1 Mar 2024","[51]","692"
NA,"Africa","35,310","3,161","—","—","1 Mar 2024","[52]","3,161"
NA,"Africa","34,980","465","—","—","1 Mar 2024","[53]","465"
NA,"Europe","34,856","954","34,671","187","1 Mar 2024","[54]","954"
NA,"Asia","34,500","938","—","—","1 Mar 2024","[55]","938"
NA,"Asia","32,195","950","—","—","1 Mar 2024","[56]","950"
NA,"Africa","32,037","213","—","—","1 Mar 2024","[57]","213"
NA,"Oceania","31,712","1,916","—","—","1 Mar 2024","[58]","1,916"
NA,"Asia","31,680","370","—","—","30 Jun 2025","[59]","370"
NA,"Europe","31,119","4.227","—","—","9 Aug 2024","[60]","4.227"
